gene,D3,K2
LOC101929613,0,0
LOC101929622,0,0
LOC101929625,0,1
LOC101929626,0,0
LOC101929631,0,0
LOC101929633,1,0
LOC101929645,0,0
LOC101929646,0,0
LOC101929653,0,0
LOC101929657,1,0
LOC101929660,1,0
LOC101929662,0,0
LOC101929679,3,4
LOC101929680,0,0
LOC101929681,0,0
LOC101929694,0,0
LOC101929696,0,0
LOC101929698,0,0
LOC101929705,2,9
LOC101929709,141,47
LOC101929710,9,4
LOC101929715,15,0
LOC101929717,0,1
LOC101929718,4,59
LOC101929719,0,0
LOC101929721,0,0
LOC101929723,0,0
LOC101929733,0,0
LOC101929741,1,1
LOC101929753,0,0
LOC101929754,0,0
LOC101929762,2,0
LOC101929767,37,42
LOC101929771,0,0
LOC101929829,0,0
LOC101929897,0,0
LOC101929983,0,0
LOC101930010,11,3
LOC101930071,4,1
LOC101930452,3,14
LOC102031319,0,0
LOC102467079,0,0
LOC102467080,0,0
LOC102467081,0,0
LOC102467147,0,0
LOC102467212,0,0
LOC102467213,0,0
LOC102467214,0,0
LOC102467216,0,0
LOC102467217,0,0
LOC102467222,0,0
LOC102467223,0,0
LOC102467224,3,18
LOC102467225,0,0
LOC102467226,0,0
LOC102467655,0,0
LOC102477328,42,43
LOC102503427,2,1
LOC102546226,1,0
LOC102546228,0,0
LOC102546229,0,2
LOC102546294,3,1
LOC102546298,0,0
LOC102546299,0,0
LOC102577426,0,0
LOC102606465,242,84
LOC102606466,0,0
LOC102723330,0,0
LOC102723344,1,0
LOC102723354,12,11
LOC102723362,0,0
LOC102723373,0,0
LOC102723376,0,0
LOC102723377,0,0
LOC102723385,0,1
LOC102723427,0,0
LOC102723439,1,2
LOC102723448,0,0
LOC102723505,0,0
LOC102723517,0,0
LOC102723544,0,0
LOC102723582,9,39
LOC102723604,0,0
LOC102723617,0,0
LOC102723649,0,0
LOC102723661,0,0
LOC102723701,3,0
LOC102723703,3,3
LOC102723704,0,8
LOC102723709,0,0
LOC102723729,0,1
LOC102723766,0,0
LOC102723769,0,0
LOC102723778,0,0
LOC102723809,4,0
LOC102723824,0,2
LOC102723828,1,0
LOC102723831,0,0
LOC102723833,0,0
LOC102723854,0,0
LOC102723859,0,0
LOC102723883,0,0
LOC102723885,0,0
LOC102723895,0,0
LOC102723927,0,3
LOC102723968,2,0
LOC102724000,0,0
LOC102724009,2,0
LOC102724020,0,0
LOC102724034,1,0
LOC102724050,2,26
LOC102724053,0,0
LOC102724058,0,0
LOC102724084,4,2
LOC102724094,5,3
LOC102724096,0,0
LOC102724153,0,0
LOC102724163,3,3
LOC102724188,0,0
LOC102724190,17,8
LOC102724201,4,1
LOC102724238,0,0
LOC102724279,0,0
LOC102724297,0,0
LOC102724301,2,4
LOC102724312,0,0
LOC102724321,0,0
LOC102724323,0,0
LOC102724421,0,0
LOC102724434,0,0
LOC102724450,7,4
LOC102724467,1,0
LOC102724484,0,1
LOC102724511,0,0
LOC102724539,2,1
LOC102724552,1,3
LOC102724555,0,0
LOC102724589,1,0
LOC102724596,2,3
LOC102724601,0,0
LOC102724604,0,0
LOC102724612,0,0
LOC102724623,0,1
LOC102724651,1,0
LOC102724659,0,0
LOC102724661,0,0
LOC102724663,0,0
LOC102724691,3,4
LOC102724699,14,6
LOC102724710,0,0
LOC102724719,0,0
LOC102724776,0,0
LOC102724784,0,0
LOC102724804,0,1
LOC102724814,87,137
LOC102724849,0,1
LOC102724862,0,0
LOC102724874,0,0
LOC102724890,5,0
LOC102724913,0,0
LOC102724919,4,1
LOC102724927,26,7
LOC102724933,1,0
LOC102724957,0,0
LOC102724958,0,0
LOC102725079,0,0
LOC102800447,0,0
LOC103021295,0,0
LOC103091866,7,3
LOC103171574,0,0
LOC103191607,0,0
LOC103312105,0,1
LOC103344931,246,17
LOC103352541,0,0
LOC103611081,226,32
LOC103908605,2,2
LOC104054148,0,0
LOC104613533,0,0
LOC104968399,2,3
LOC105274304,10,1
LOC105370306,0,0
LOC105372441,0,0
LOC105372795,10,2
LOC105373300,18,1
LOC105373383,0,1
LOC105375734,0,0
LOC105376360,0,0
LOC105376671,0,0
LOC105377348,22,11
LOC105378732,2,2
LOC105447645,2,0
LOC105447648,0,0
LOC105616981,1,2
LOC105667213,0,0
LOC105747689,26,12
LOC105748977,1,2
LOC105755953,0,0
LOC113230,12,9
LOC115110,1,2
LOC143666,26,3
LOC145474,0,0
LOC145783,13,1
LOC145845,0,0
LOC146513,0,0
LOC146880,127,131
LOC148413,415,44
LOC148696,5,0
LOC148709,5,0
LOC149373,0,0
LOC149684,0,0
LOC149950,0,0
LOC150776,387,1413
LOC150935,1,0
LOC151121,0,0
LOC151174,0,0
LOC151475,0,0
LOC151484,0,0
LOC152225,1,0
LOC152578,1,1
LOC153684,40,1
LOC153910,2,0
LOC154449,0,0
LOC154761,1,3
LOC155060,140,107
LOC157273,0,0
LOC158434,0,0
LOC158435,0,0
LOC171391,37,45
LOC1720,0,0
LOC200726,0,0
LOC200772,1,1
LOC202181,52,37
LOC220729,216,86
LOC221122,0,0
LOC221946,4,0
LOC253573,0,0
LOC254028,0,0
LOC254896,29,21
LOC255187,0,0
LOC255654,0,0
LOC256880,0,1
LOC257396,149,21
LOC283038,1,1
LOC283045,2,1
LOC283140,5,1
LOC283177,0,0
LOC283194,0,0
LOC283214,0,0
LOC283299,1,0
LOC283332,0,0
LOC283335,8,5
LOC283352,18,39
LOC283440,0,0
LOC283575,4,7
LOC283585,0,0
LOC283683,3,3
LOC283710,1,0
LOC283731,0,0
LOC283788,650,549
LOC283856,0,0
LOC283922,63,48
LOC284009,8,0
LOC284023,84,27
LOC284080,10,2
LOC284294,0,0
LOC284344,3,1
LOC284379,0,0
LOC284395,0,0
LOC284412,0,0
LOC284454,89,16
LOC284578,0,0
LOC284581,223,208
LOC284632,0,0
LOC284648,2,0
LOC284661,0,0
LOC284788,0,0
LOC284798,0,0
LOC284825,0,0
LOC284865,0,0
LOC284930,60,24
LOC284933,0,0
LOC284950,22,4
LOC285000,0,0
LOC285043,1,0
LOC285074,188,203
LOC285484,0,0
LOC285593,2,3
LOC285626,1,0
LOC285627,0,0
LOC285629,4,0
LOC285692,0,0
LOC285696,1,3
LOC285740,0,0
LOC285762,0,0
LOC285766,0,0
LOC285768,0,1
LOC285804,0,0
LOC285819,1,1
LOC285847,4,13
LOC285889,0,0
LOC286059,2,1
LOC286083,0,0
LOC286114,0,0
LOC286177,0,0
LOC286238,0,0
LOC286297,0,0
LOC286359,0,0
LOC286370,0,0
LOC286437,35,4
LOC338694,0,0
LOC338797,0,0
LOC338963,1,0
LOC339059,0,1
LOC339166,26,9
LOC339260,0,0
LOC339298,0,0
LOC339529,0,0
LOC339539,0,0
LOC339568,0,0
LOC339593,0,0
LOC339622,0,0
LOC339666,5,15
LOC339803,332,36
LOC339807,0,0
LOC339862,0,0
LOC339874,3,0
LOC339975,0,0
LOC340017,0,0
LOC340074,0,0
LOC340107,0,0
LOC340113,2,0
LOC340357,0,0
LOC340512,0,0
LOC341056,32,2
LOC343052,0,0
LOC344887,181,11
LOC344967,17,2
LOC349160,0,0
LOC374443,156,17
LOC375196,0,0
LOC387810,0,0
LOC388242,0,0
LOC388282,0,0
LOC388406,0,0
LOC388436,0,0
LOC388692,10,0
LOC388780,0,0
LOC388813,7,5
LOC388849,5,5
LOC388882,0,0
LOC388942,0,0
LOC389033,0,0
LOC389199,0,0
LOC389247,1,3
LOC389332,0,0
LOC389602,1,0
LOC389641,206,85
LOC389705,0,1
LOC389765,50,91
LOC389831,595,332
LOC389834,131,7
LOC389895,0,0
LOC389906,166,144
LOC390705,0,0
LOC391003,0,0
LOC391322,6,0
LOC392196,0,0
LOC392232,0,0
LOC392364,0,0
LOC392452,0,0
LOC399715,7,13
LOC399815,128,8
LOC399886,0,0
LOC400043,369,429
LOC400541,1,3
LOC400548,0,0
LOC400553,0,0
LOC400558,0,0
LOC400620,0,0
LOC400655,36,9
LOC400661,0,0
LOC400684,1,0
LOC400685,0,0
LOC400706,0,0
LOC400736,0,0
LOC400794,0,0
LOC400867,0,0
LOC400927,1,1
LOC400927-CSNK1E,3,1
LOC400940,0,0
LOC400958,0,0
LOC400997,0,1
LOC401010,19,6
LOC401052,2,3
LOC401127,32,9
LOC401134,0,0
LOC401177,0,0
LOC401242,0,0
LOC401286,0,0
LOC401312,0,1
LOC401320,275,333
LOC401324,0,0
LOC401357,2,0
LOC401463,0,0
LOC401557,0,0
LOC401585,1,2
LOC403312,0,2
LOC403323,0,0
LOC407835,4,4
LOC414300,0,0
LOC439933,0,0
LOC439994,0,2
LOC440028,55,13
LOC440040,0,0
LOC440117,0,0
LOC440173,96,27
LOC440300,3,0
LOC440311,310,48
LOC440390,0,0
LOC440434,187,187
LOC440446,0,0
LOC440461,2,0
LOC440600,13,18
LOC440602,0,0
LOC440700,2,0
LOC440704,0,0
LOC440895,0,0
LOC440896,1,0
LOC440910,0,0
LOC440982,0,0
LOC441025,0,0
LOC441081,7,5
LOC441155,1,37
LOC441178,0,0
LOC441204,1,1
LOC441242,55,42
LOC441454,2,0
LOC441455,0,0
LOC441601,18,0
LOC441666,56,2
LOC442028,0,0
LOC442132,0,0
LOC442497,0,0
LOC494127,0,0
LOC494141,0,0
LOC51145,0,0
LOC541472,2,1
LOC541473,0,0
LOC550113,0,0
LOC553103,18,13
LOC55338,0,0
LOC554206,19,1
LOC554223,0,0
LOC554249,0,0
LOC574538,0,0
LOC606724,0,0
LOC613037,3,9
LOC613038,0,0
LOC613266,1,1
LOC63930,0,0
LOC641367,12,0
LOC641746,2,0
LOC642236,25,20
LOC642361,12,6
LOC642366,0,0
LOC642423,0,8
LOC642426,0,0
LOC642776,5,1
LOC642846,222,341
LOC642852,579,27
LOC642929,0,0
LOC642943,0,0
LOC643072,8,3
LOC643201,19,17
LOC643339,3,1
LOC643355,0,0
LOC643387,2,0
LOC643406,0,0
LOC643441,0,0
LOC643542,0,0
LOC643623,0,0
LOC643711,0,0
LOC643733,3,5
LOC643770,4,2
LOC643802,0,0
LOC643923,60,42
LOC644070,0,0
LOC644145,0,0
LOC644172,0,1
LOC644189,0,0
LOC644285,20,1
LOC644554,0,0
LOC644656,19,9
LOC644669,0,0
LOC644762,4,4
LOC644838,0,0
LOC644919,10,16
LOC644936,3,0
LOC645166,125,196
LOC645354,0,0
LOC645382,0,0
LOC645434,0,0
LOC645513,28,6
LOC645752,0,0
LOC645949,0,1
LOC646029,0,0
LOC646214,19,1
LOC646268,0,0
LOC646471,38,25
LOC646522,0,0
LOC646626,0,0
LOC646736,0,0
LOC646743,0,0
LOC646762,331,56
LOC646813,0,0
LOC646903,17,5
LOC646938,0,0
LOC647323,8,1
LOC647859,3,8
LOC648987,6,8
LOC649133,0,0
LOC649324,0,0
LOC649352,0,0
LOC650226,0,1
LOC650293,0,0
LOC652276,50,16
LOC653160,29,3
LOC653513,0,2
LOC653602,31,0
LOC653653,84,127
LOC653712,11,11
LOC653786,0,0
LOC654342,465,959
LOC654841,56,3
LOC727751,0,0
LOC727896,45,14
LOC727924,0,0
LOC728024,22,7
LOC728040,0,0
LOC728084,1,1
LOC728095,0,0
LOC728175,1,1
LOC728323,51,28
LOC728392,11,15
LOC728485,11,0
LOC728554,89,158
LOC728613,15,6
LOC728673,2,0
LOC728730,73,42
LOC728739,0,0
LOC728743,83,54
LOC728752,18,0
LOC728989,3,0
LOC729080,2,0
LOC729083,1,0
LOC729159,0,0
LOC729218,178,54
LOC729296,0,0
LOC729348,2,0
LOC729506,1,0
LOC729603,27,30
LOC729609,0,0
LOC729658,0,0
LOC729683,1,0
LOC729732,0,0
LOC729737,8,6
LOC729739,0,1
LOC729867,7,1
LOC729930,0,0
LOC729950,0,0
LOC729966,0,0
LOC729970,15,7
LOC729987,0,0
LOC730101,166,22
LOC730102,23,17
LOC730159,0,0
LOC730183,8,4
LOC730202,12,3
LOC730668,0,0
LOC731157,0,2
LOC731424,4,0
LOC79160,3,0
LOC79999,0,0
LOC80078,1,1
LOC81691,164,146
LOC90246,97,11
LOC90768,304,36
LOC90784,498,191
LOC91450,18,6
LOC93622,363,86
LOH12CR1,141,75
LOH12CR2,9,1
LONP1,3895,2548
LONP2,2529,1373
LONRF1,370,154
LONRF2,0,0
LONRF3,20,14
LOR,0,0
LOX,166,134
LOXHD1,0,0
LOXL1,209,112
LOXL1-AS1,490,182
LOXL2,1409,1151
LOXL3,54,27
LOXL4,3,2
LPA,0,0
LPAL2,36,8
LPAR1,217,105
LPAR2,34,44
LPAR3,38,42
LPAR4,2,1
LPAR5,1,0
LPAR6,40,10
LPCAT1,2749,1495
LPCAT2,411,188
LPCAT3,1117,951
LPCAT4,1598,2196
LPGAT1,2802,1114
LPIN1,1793,1803
LPIN2,1977,464
LPIN3,274,83
LPL,57,44
LPO,1,3
LPP,10369,5161
LPP-AS1,0,1
LPP-AS2,10,2
LPPR1,0,0
LPPR2,576,610
LPPR3,1,0
LPPR4,0,0
LPPR5,0,0
LPXN,187,140
LRAT,0,0
LRBA,2438,1342
LRCH1,596,368
LRCH2,17,16
LRCH3,294,93
LRCH4,330,299
LRCOL1,0,0
LRFN1,7,2
LRFN2,0,0
LRFN3,123,47
LRFN4,298,69
LRFN5,0,0
LRG1,4,7
LRGUK,7,4
LRIF1,1454,411
LRIG1,1334,353
LRIG2,383,284
LRIG3,267,85
LRIT1,0,0
LRIT2,0,0
LRIT3,6,12
LRMP,3,0
LRP1,1910,587
LRP1-AS,0,0
LRP10,2386,823
LRP11,1016,334
LRP12,1151,599
LRP1B,20,12
LRP2,1,0
LRP2BP,48,47
LRP3,224,84
LRP4,126,55
LRP4-AS1,4,18
LRP5,1059,347
LRP5L,95,412
LRP6,1309,378
LRP8,765,268
LRPAP1,1212,1266
LRPPRC,11703,14783
LRR1,637,231
LRRC1,200,116
LRRC10,0,0
LRRC10B,0,0
LRRC14,634,78
LRRC14B,0,0
LRRC15,2,0
LRRC16A,43,21
LRRC16B,1,5
LRRC17,1,0
LRRC18,0,0
LRRC19,5,2
LRRC2,9,7
LRRC2-AS1,1,0
LRRC20,244,77
LRRC23,210,252
LRRC24,0,0
LRRC25,1,0
LRRC26,0,0
LRRC27,180,121
LRRC28,301,352
LRRC29,30,5
LRRC3,4,0
LRRC3-AS1,0,0
LRRC30,0,0
LRRC31,0,0
LRRC32,3,9
LRRC34,11,2
LRRC36,1,1
LRRC37A,4,3
LRRC37A11P,0,0
LRRC37A2,7,3
LRRC37A3,12,9
LRRC37A4P,160,57
LRRC37A5P,0,0
LRRC37A6P,9,0
LRRC37A8P,12,0
LRRC37B,151,174
LRRC37BP1,361,268
LRRC38,0,1
LRRC39,40,13
LRRC3B,1,1
LRRC3C,1,0
LRRC4,0,1
LRRC40,858,264
LRRC41,1962,1520
LRRC42,1652,1804
LRRC43,0,0
LRRC45,140,92
LRRC46,4,6
LRRC47,1477,433
LRRC48,16,15
LRRC49,567,336
LRRC4B,1,0
LRRC4C,0,0
LRRC52,0,0
LRRC55,0,0
LRRC56,4,2
LRRC57,665,185
LRRC58,4266,1067
LRRC59,9174,6417
LRRC6,1,1
LRRC61,0,0
LRRC63,0,0
LRRC66,6,9
LRRC69,18,4
LRRC7,46,23
LRRC70,12,17
LRRC71,0,0
LRRC72,0,0
LRRC73,4,3
LRRC74A,0,0
LRRC74B,0,0
LRRC75A,24,51
LRRC75A-AS1,29478,64023
LRRC75B,10,8
LRRC8A,1125,664
LRRC8B,447,38
LRRC8C,65,22
LRRC8D,3179,1558
LRRC8E,438,185
LRRC9,0,0
LRRCC1,450,257
LRRD1,3,3
LRRFIP1,2239,843
LRRFIP2,875,1012
LRRIQ1,27,7
LRRIQ3,13,5
LRRIQ4,0,0
LRRK1,569,341
LRRK2,115,28
LRRN1,0,1
LRRN2,0,1
LRRN3,0,0
LRRN4,1,0
LRRN4CL,0,0
LRRTM1,0,0
LRRTM2,0,1
LRRTM3,13,2
LRRTM4,0,0
LRSAM1,582,483
LRTM1,0,0
LRTM2,0,1
LRTOMT,106,55
LRWD1,224,208
LSAMP,2,0
LSAMP-AS1,0,0
LSG1,2488,1209
LSM1,912,748
LSM10,533,534
LSM11,406,218
LSM12,376,682
LSM14A,5162,2018
LSM14B,1901,805
LSM2,2,28
LSM3,1310,1863
LSM4,2618,2618
LSM5,809,874
LSM6,443,243
LSM7,438,805
LSM8,851,669
LSMEM1,18,28
LSMEM2,3,0
LSP1,8,18
LSP1P3,0,0
LSR,24,27
LSS,1859,578
LST1,0,0
LTA,0,0
LTA4H,3194,6841
LTB,0,3
LTB4R,572,457
LTB4R2,63,43
LTBP1,88,26
LTBP2,23,6
LTBP3,788,429
LTBP4,1495,713
LTBR,5787,6116
LTC4S,0,0
LTF,48,67
LTK,8,13
LTN1,2343,907
LTV1,1839,1363
LUC7L,543,950
LUC7L2,118,58
LUC7L3,2694,900
LUCAT1,31,9
LUM,0,3
LUNAR1,2,0
LURAP1,22,2
LURAP1L,505,73
LURAP1L-AS1,7,0
LUZP1,3258,296
LUZP2,0,1
LUZP4,0,0
LUZP6,0,0
LVCAT1,20,7
LVCAT5,146,338
LVCAT8,1,0
LVRN,17,9
LXN,0,1
LY6D,0,0
LY6E,1150,1476
LY6G5B,0,0
LY6G5C,0,0
LY6G6C,0,0
LY6G6D,0,0
LY6G6E,0,0
LY6G6F,0,0
LY6H,0,0
LY6K,283,277
LY75,1,3
LY75-CD302,0,0
LY86,0,0
LY86-AS1,0,1
LY9,0,0
LY96,92,97
LYAR,1378,1661
LYG1,15,29
LYG2,2,0
LYL1,0,0
LYN,1105,1192
LYNX1,0,0
LYPD1,7,9
LYPD2,0,0
LYPD3,7,2
LYPD4,0,0
LYPD5,6,1
LYPD6,204,41
LYPD6B,39,48
LYPD8,0,0
LYPLA1,2103,994
LYPLA2,553,460
LYPLA2P2,0,0
LYPLAL1,315,95
LYPLAL1-AS1,3,0
LYRM1,1341,955
LYRM2,886,188
LYRM4,1185,2179
LYRM5,325,98
LYRM7,2287,249
LYRM9,44,19
LYSMD1,275,163
LYSMD2,264,167
LYSMD3,1056,258
LYSMD4,211,8
LYST,362,198
LYVE1,0,0
LYZ,0,0
LYZL1,0,0
LYZL2,0,0
LYZL4,1,1
LYZL6,0,0
LZIC,1073,514
LZTFL1,1291,435
LZTR1,449,268
LZTS1,8,0
LZTS1-AS1,0,0
LZTS2,775,277
LZTS3,323,137
M1AP,0,0
M6PR,2829,1615
MAATS1,1,3
MAB21L1,0,0
MAB21L2,0,0
MAB21L3,5,3
MACC1,0,0
MACC1-AS1,0,0
MACF1,6136,2423
MACROD1,411,499
MACROD2,19,17
MACROD2-AS1,0,0
MACROD2-IT1,0,0
MAD1L1,632,857
MAD2L1,1706,978
MAD2L1BP,770,437
MAD2L2,1475,1674
MADCAM1,3,0
MADD,1176,674
MAEA,862,551
MAEL,1,1
MAF,1,4
MAF1,1703,1602
MAFA,0,0
MAFA-AS1,3,1
MAFB,29,18
MAFF,805,960
MAFG,1989,1118
MAFG-AS1,115,16
MAFIP,61,160
MAFK,653,497
MAFTRR,0,0
MAG,0,0
MAGEA1,49,15
MAGEA10,4,0
MAGEA10-MAGEA5,0,0
MAGEA11,81,62
MAGEA12,1448,999
MAGEA2,14,12
MAGEA2B,0,0
MAGEA3,455,329
MAGEA4,0,0
MAGEA5,0,0
MAGEA6,1564,1013
MAGEA8,0,0
MAGEA8-AS1,0,0
MAGEA9,0,0
MAGEA9B,0,0
MAGEB1,0,0
MAGEB10,0,0
MAGEB16,2,1
MAGEB17,0,2
MAGEB18,2,0
MAGEB2,93,69
MAGEB3,0,0
MAGEB4,0,0
MAGEB5,0,0
MAGEB6,0,0
MAGEC1,599,351
MAGEC2,579,422
MAGEC3,0,1
MAGED1,677,1514
MAGED2,1652,2373
MAGED4,0,0
MAGED4B,0,0
MAGEE1,2,0
MAGEE2,0,0
MAGEF1,900,74
MAGEH1,237,67
MAGEL2,0,0
MAGI1,656,130
MAGI1-AS1,0,0
MAGI2,0,0
MAGI2-AS2,0,0
MAGI2-AS3,7,0
MAGI3,596,204
MAGIX,2,1
MAGOH,914,608
MAGOH2P,3,0
MAGOHB,385,85
MAGT1,1956,799
MAK,49,72
MAK16,1748,470
MAL,0,2
MAL2,3,0
MALAT1,4118,8523
MALL,0,0
MALRD1,1,1
MALSU1,418,295
MALT1,1470,846
MAMDC2,12,1
MAMDC2-AS1,0,0
MAMDC4,18,54
MAML1,1793,340
MAML2,252,123
MAML3,264,39
MAMLD1,175,75
MAMSTR,29,21
MAN1A1,418,97
MAN1A2,1661,257
MAN1B1,1609,1384
MAN1B1-AS1,81,14
MAN1C1,2,0
MAN2A1,1875,1477
MAN2A2,2203,1428
MAN2B1,2469,3256
MAN2B2,322,256
MAN2C1,1024,2273
MANBA,1288,2337
MANBAL,1166,1355
MANEA,667,298
MANEA-AS1,17,0
MANEAL,508,245
MANF,1585,1868
MANSC1,80,43
MANSC4,0,0
MAOA,848,1485
MAOB,0,0
MAP10,20,0
MAP1A,20,11
MAP1B,6991,1262
MAP1LC3A,28,59
MAP1LC3B,4777,2692
MAP1LC3B2,151,165
MAP1LC3C,0,0
MAP1S,308,64
MAP2,1143,758
MAP2K1,1715,979
MAP2K2,1609,2798
MAP2K3,323,651
MAP2K4,508,194
MAP2K4P1,2,1
MAP2K5,452,511
MAP2K6,0,0
MAP2K7,926,783
MAP3K1,362,216
MAP3K10,254,70
MAP3K11,415,112
MAP3K12,323,403
MAP3K13,865,319
MAP3K14,300,98
MAP3K14-AS1,19,4
MAP3K15,16,12
MAP3K19,0,1
MAP3K2,2287,1543
MAP3K3,710,325
MAP3K4,1205,758
MAP3K5,359,155
MAP3K6,493,302
MAP3K7,2313,961
MAP3K7CL,8,7
MAP3K8,311,188
MAP3K9,918,556
MAP4,13044,10840
MAP4K1,5,10
MAP4K2,197,124
MAP4K3,607,138
MAP4K4,2763,2415
MAP4K5,773,223
MAP6,2,2
MAP6D1,19,16
MAP7,16,9
MAP7D1,2799,845
MAP7D2,2,12
MAP7D3,850,605
MAP9,357,117
MAPK1,4384,1726
MAPK10,31,8
MAPK11,85,51
MAPK12,717,569
MAPK13,42,105
MAPK14,1521,682
MAPK15,1,1
MAPK1IP1L,2696,761
MAPK3,280,432
MAPK4,0,0
MAPK6,1950,719
MAPK7,121,59
MAPK8,1141,566
MAPK8IP1,122,126
MAPK8IP2,11,2
MAPK8IP3,634,1558
MAPK9,1899,1085
MAPKAP1,3330,1941
MAPKAPK2,3021,2658
MAPKAPK3,1506,1629
MAPKAPK5,748,372
MAPKAPK5-AS1,779,849
MAPKBP1,500,295
MAPRE1,3451,3459
MAPRE2,1423,826
MAPRE3,244,250
MAPT,74,79
MAPT-AS1,0,0
MAPT-IT1,1,0
1-Mar,12,37
2-Mar,262,294
1-Mar,86,3
10-Mar,1,0
11-Mar,0,0
2-Mar,235,149
3-Mar,46,49
4-Mar,69,7
5-Mar,1339,998
6-Mar,4894,3005
7-Mar,2422,453
8-Mar,817,391
9-Mar,316,104
MARCKS,2838,1337
MARCKSL1,895,337
MARCO,32,52
MARK1,486,152
MARK2,1146,507
MARK2P9,4,3
MARK3,2279,1575
MARK4,449,519
MARS,12481,1500
MARS2,863,28
MARVELD1,592,95
MARVELD2,7,6
MARVELD3,4,1
MAS1,0,0
MAS1L,0,0
MASP1,114,57
MASP2,32,4
MAST1,48,68
MAST2,3269,2785
MAST3,338,150
MAST4,319,93
MASTL,1304,681
MAT1A,7,2
MAT2A,15751,496
MAT2B,2018,626
MATK,0,0
MATN1,14,9
MATN1-AS1,24,11
MATN2,22,16
MATN3,7,0
MATN4,2,1
MATR3,16060,17459
MAU2,1048,578
MAVS,4158,736
MAX,1752,495
MAZ,4049,2437
MB,12,9
MB21D1,344,343
MB21D2,292,264
MBD1,2181,810
MBD2,1766,1325
MBD3,708,214
MBD3L1,0,0
MBD3L2,0,0
MBD3L3,0,0
MBD3L4,0,0
MBD3L5,0,0
MBD4,1295,480
MBD5,354,247
MBD6,998,636
MBIP,514,330
MBL1P,3,0
MBL2,0,0
MBLAC1,13,2
MBLAC2,360,18
MBNL1,7001,2699
MBNL1-AS1,39,7
MBNL2,3355,1081
MBNL3,24,7
MBOAT1,186,129
MBOAT2,388,271
MBOAT4,11,1
MBOAT7,828,699
MBP,0,0
MBTD1,728,174
MBTPS1,4492,1486
MBTPS2,944,199
MC1R,58,109
MC2R,0,0
MC3R,0,0
MC4R,0,0
MC5R,0,2
MCAM,538,253
MCAT,262,166
MCC,168,93
MCCC1,641,387
MCCC2,2134,1152
MCCD1,0,0
MCEE,155,121
MCEMP1,1,1
MCF2,7,2
MCF2L,4,8
MCF2L-AS1,1,0
MCF2L2,22,3
MCFD2,6866,2089
MCHR1,0,0
MCHR2,0,0
MCHR2-AS1,0,0
MCIDAS,60,18
MCL1,8422,1396
MCM10,665,330
MCM2,4036,4389
MCM3,4493,1471
MCM3AP,2989,1141
MCM3AP-AS1,119,22
MCM4,3546,3147
MCM5,1486,1295
MCM6,1751,864
MCM7,4008,5694
MCM8,1534,613
MCM8-AS1,5,0
MCM9,251,107
MCMBP,3790,3783
MCMDC2,21,16
MCOLN1,371,511
MCOLN2,303,202
MCOLN3,8,2
MCPH1,808,602
MCPH1-AS1,14,5
MCRS1,1153,1155
MCTP1,225,234
MCTP2,150,99
MCTS1,1136,1037
MCTS2P,126,81
MCU,572,627
MCUR1,1398,1126
MDC1,18,44
MDFI,10,4
MDFIC,674,122
MDGA1,6,0
MDGA2,785,131
MDH1,3418,2543
MDH1B,7,8
MDH2,4098,6980
MDK,4,9
MDM1,384,91
MDM2,1082,279
MDM4,767,459
MDN1,4948,2908
MDP1,12,4
MDS2,0,0
ME1,2906,2808
ME2,2343,2081
ME3,0,0
MEA1,684,689
MEAF6,1230,1105
MEAT6,0,0
MECOM,439,114
MECP2,2060,1110
MECR,794,235
MED1,4719,1518
MED10,1146,637
MED11,160,103
MED12,1061,1101
MED12L,1,1
MED13,4081,889
MED13L,4314,1144
MED14,1639,1468
MED14OS,19,16
MED15,1656,2668
MED15P9,0,0
MED16,375,149
MED17,597,253
MED18,502,48
MED19,366,311
MED20,1099,177
MED21,1205,833
MED22,881,65
MED23,1077,444
MED24,1341,2401
MED25,437,247
MED26,298,261
MED27,703,416
MED28,1616,1017
MED29,766,485
MED30,243,214
MED31,106,44
MED4,680,283
MED4-AS1,1,1
MED6,969,185
MED7,189,101
MED8,889,462
MED9,219,119
MEDAG,0,1
MEF2A,2881,1279
MEF2B,1,0
MEF2BNB,52,47
MEF2BNB-MEF2B,0,0
MEF2C,18,6
MEF2C-AS1,0,0
MEF2D,1363,854
MEFV,166,70
MEG3,5,13
MEG8,0,0
MEG9,0,0
MEGF10,0,0
MEGF11,6,3
MEGF6,38,50
MEGF8,1612,157
MEGF9,1230,372
MEI1,1,1
MEI4,0,0
MEIG1,5,0
MEIKIN,0,0
MEIOB,1,0
MEIS1,138,60
MEIS1-AS2,0,1
MEIS1-AS3,2,0
MEIS2,319,110
MEIS3,236,184
MEIS3P1,4,0
MELK,1471,876
MEMO1,514,737
MEN1,823,641
MEOX1,0,4
MEOX2,0,0
MEOX2-AS1,1,0
MEP1A,0,0
MEP1B,13,18
MEPCE,1101,479
MEPE,0,0
MERTK,188,346
MESDC1,135,5
MESDC2,1764,766
MESP1,6,12
MESP2,1,0
MEST,715,263
MESTIT1,1,0
MET,6412,3813
METAP1,2219,2791
METAP1D,404,122
METAP2,2854,4641
METRN,137,118
METRNL,310,175
METTL1,789,448
METTL10,357,144
METTL11B,1,0
METTL12,219,286
METTL13,976,480
METTL14,861,205
METTL15,399,298
METTL16,1306,767
METTL17,1002,920
METTL18,237,33
METTL20,23,2
METTL21A,377,179
METTL21B,899,474
